I	3083	72912	2	2	1	2	0	15
I	3620	71798	1	1	1	18	1	12
I	3620	73059	1	1	1	3	0	12
I	9541	47749	2	2	1	1	0	16
I	9541	71808	2	2	1	2	0	16
I	9541	71847	2	2	1	7	0	16
I	9541	71862	2	2	1	2	0	16
I	9541	71892	2	2	1	2	0	16
I	9541	72069	2	2	1	4	0	16
I	9541	72265	2	2	1	2	0	16
I	9541	72270	2	2	1	2	0	16
I	9541	72400	2	2	1	2	0	16
I	9541	72514	2	2	1	2	0	16
I	9541	72538	2	2	1	2	0	16
I	9541	72717	2	2	1	3	0	16
I	11714	45896	1	1	1	0	1	15
I	11867	11893	2	2	1	0	1	42
I	11867	24325	2	2	1	0	1	42
I	12536	12583	1	1	1	1	0	20
I	12584	12679	1	1	1	1	0	17
I	12728	24940	1	1	1	0	1	49
I	12776	24940	1	1	1	0	2	36
I	22776	46383	2	2	1	1	0	14
I	22776	63326	2	2	1	0	1	16
I	22776	71877	2	2	1	1	0	14
I	22776	72106	2	2	1	0	1	14
I	22776	72181	2	2	1	0	1	14
I	22776	72400	2	2	1	1	0	14
I	22776	72529	2	2	1	1	1	14
I	22776	72699	2	2	1	1	0	14
I	22776	72912	2	2	1	2	1	14
I	22778	36275	2	2	1	0	1	16
I	22778	41031	2	2	1	1	0	16
I	22778	52443	2	2	1	0	1	16
I	22778	71938	2	2	1	3	0	16
I	22778	72007	2	2	1	0	1	16
I	22778	72066	2	2	0	0	1	16
I	22778	72072	2	2	1	0	1	16
I	22778	72106	2	2	1	1	0	16
I	22778	73056	2	2	1	1	1	16
I	22782	61693	2	2	1	1	0	20
I	22782	71776	2	2	1	2	1	20
I	22782	71938	2	2	1	0	1	20
I	22782	72085	2	2	1	2	0	20
I	22782	72151	2	2	1	0	1	20
I	22782	72217	2	2	0	1	0	20
I	22782	72270	2	2	1	1	0	20
I	22782	72370	2	2	1	1	0	20
I	24144	72854	2	2	1	0	1	13
I	24144	73127	2	2	1	1	0	13
I	24146	45896	1	1	1	0	1	15
I	24146	71841	1	1	1	1	0	15
I	24146	72057	1	1	1	1	0	15
I	24146	72973	1	1	1	0	1	15
I	24299	24325	2	2	1	0	1	42
I	25529	25663	2	2	1	2	0	40
I	32024	63551	1	1	1	1	0	24
I	32024	71793	1	1	1	0	1	24
I	32024	71841	1	1	1	1	0	24
I	38942	76913	1	1	1	1	0	14
I	52460	72329	2	2	1	0	1	16
I	65979	77531	1	3	1	1	0	19
I	71512	161241	1	1	1	2	0	13
I	76875	77092	1	1	1	1	0	20
I	84275	112885	1	1	1	1	0	13
I	84461	165639	2	2	1	21	3	19
I	86339	126072	2	2	1	3	3	12
I	86339	132075	2	2	1	4	4	15
I	87388	87500	1	1	1	16	0	46
I	91202	131124	1	1	1	1	0	16
I	91202	131753	1	1	1	1	0	12
I	95912	111225	2	2	1	1	0	14
I	103670	117590	2	2	1	1	0	14
I	103670	137440	2	2	1	1	0	14
I	103670	142622	2	2	1	0	1	14
I	106244	123908	2	2	1	1	0	13
I	106798	129655	1	1	1	1	0	15
I	106977	112885	1	1	1	1	0	12
I	107038	139653	2	2	1	3	5	16
I	108643	111225	2	2	1	1	0	14
I	109124	116187	2	2	1	0	1	17
I	109124	124817	2	2	1	1	0	17
I	109124	125622	2	2	1	1	0	17
I	109124	126032	2	2	1	1	0	16
I	109124	126261	2	2	1	1	0	17
I	109124	126717	2	2	1	0	1	17
I	109124	130942	2	2	1	1	0	17
I	109124	131265	2	2	1	1	0	17
I	109124	132784	2	2	1	0	1	17
I	109124	142168	2	2	1	1	0	17
I	109124	142728	2	2	1	3	1	17
I	109124	143088	2	2	1	0	1	17
I	109124	143297	2	2	1	0	3	17
